,name,year,genre,imdb,meta,gross,runtime
1314,Riding Giants,2004,Documentary,7.9,80,2.28,105
1315,Matando Cabos,2004,Action,7.5,44,0.13,94
1316,Around the Bend,2004,Comedy,6.5,46,0.19,85
1317,The Last Shot,2004,Comedy,5.7,47,0.46,93
1318,Touch of Pink,2004,Drama,6.6,46,0.56,91
1319,Trilogia: To livadi pou dakryzei,2004,Drama,7.9,73,0.02,170
1320,Silver City,2004,Comedy,6.1,47,1.02,128
1321,Incident at Loch Ness,2004,Adventure,6.6,62,0.04,94
1322,The Beautiful Country,2004,Drama,7.5,64,0.44,125
1323,Temporada de patos,2004,Comedy,7.3,74,0.15,90
1324,Batman Begins,2005,Action,8.2,70,206.85,140
1325,V for Vendetta,2005,Action,8.2,62,70.51,132
1326,Sin City,2005,Crime,8.0,74,74.1,124
1327,Star Wars: Episode III - Revenge of the Sith,2005,Action,7.6,68,380.26,140
1328,Harry Potter and the Goblet of Fire,2005,Adventure,7.7,81,290.01,157
1329,Mr. & Mrs. Smith,2005,Action,6.5,55,186.34,120
1330,Charlie and the Chocolate Factory,2005,Adventure,6.6,72,206.46,115
1331,War of the Worlds,2005,Adventure,6.5,73,234.28,116
1332,King Kong,2005,Action,7.2,81,218.08,187
1333,The 40 Year Old Virgin,2005,Comedy,7.1,73,109.45,116
1334,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Adventure,6.9,75,291.71,143
1335,Madagascar,2005,Animation,6.9,57,193.6,86
1336,Wedding Crashers,2005,Comedy,7.0,64,209.22,119
1337,Brokeback Mountain,2005,Drama,7.7,87,83.04,134
1338,Fantastic Four,2005,Action,5.7,40,154.7,106
1339,The Island,2005,Action,6.9,50,35.82,136
1340,Lord of War,2005,Crime,7.6,62,24.15,122
1341,Hitch,2005,Comedy,6.6,58,179.5,118
1342,Constantine,2005,Action,7.0,50,75.98,121
1343,Serenity,2005,Action,7.9,74,25.51,119
1344,Kingdom of Heaven,2005,Action,7.2,63,47.4,144
1345,Pride & Prejudice,2005,Drama,7.8,82,38.41,129
1346,Corpse Bride,2005,Animation,7.4,83,53.36,77
1347,Saw II,2005,Crime,6.6,40,87.04,93
1348,Walk the Line,2005,Biography,7.9,72,119.52,136
1349,A History of Violence,2005,Drama,7.5,81,31.49,96
1350,Thank You for Smoking,2005,Comedy,7.6,71,24.79,92
1351,Kiss Kiss Bang Bang,2005,Action,7.6,72,4.24,103
1352,Munich,2005,Drama,7.6,74,47.4,164
1353,Match Point,2005,Drama,7.6,72,23.09,124
1354,The Descent,2005,Adventure,7.2,71,26.02,99
1355,Transporter 2,2005,Action,6.3,56,43.1,87
1356,The Hitchhiker's Guide to the Galaxy,2005,Adventure,6.8,63,51.09,109
1357,Cinderella Man,2005,Biography,8.0,69,61.65,144
1358,Jarhead,2005,Biography,7.0,58,62.66,125
1359,Hostel,2005,Horror,5.9,55,47.33,94
1360,The Longest Yard,2005,Comedy,6.4,48,158.12,113
1361,Hard Candy,2005,Crime,7.1,58,1.01,104
1362,Flightplan,2005,Action,6.3,53,89.71,98
1363,Green Street Hooligans,2005,Crime,7.5,55,0.34,109
1364,Memoirs of a Geisha,2005,Drama,7.4,54,57.49,145
1365,The Constant Gardener,2005,Drama,7.4,82,33.58,129
1366,Four Brothers,2005,Action,6.9,49,74.49,109
1367,Fun with Dick and Jane,2005,Comedy,6.1,47,110.33,90
1368,Robots,2005,Animation,6.3,64,128.2,91
1369,Syriana,2005,Drama,6.9,76,50.82,128
1370,Æon Flux,2005,Action,5.5,36,25.86,93
1371,Capote,2005,Biography,7.4,88,28.75,114
1372,The Curse of the Were-Rabbit,2005,Animation,7.5,87,56.11,85
1373,Coach Carter,2005,Biography,7.3,57,67.26,136
1374,The Exorcism of Emily Rose,2005,Drama,6.7,46,75.07,119
1375,The Brothers Grimm,2005,Action,5.9,51,37.92,118
1376,House of Wax,2005,Horror,5.3,41,32.06,108
1377,Red Eye,2005,Mystery,6.5,71,57.89,85
1378,The Jacket,2005,Drama,7.1,44,6.3,103
1379,Hostage,2005,Action,6.6,44,34.64,113
1380,The Skeleton Key,2005,Drama,6.5,47,47.81,104
1381,Doom,2005,Action,5.2,34,28.03,105
1382,The Amityville Horror,2005,Drama,6.0,33,65.23,90
1383,Just Friends,2005,Comedy,6.2,47,32.62,96
1384,Brick,2005,Action,7.4,72,2.06,110
1385,Unleashed,2005,Action,7.0,58,24.52,103
1386,The Interpreter,2005,Crime,6.4,62,72.71,128
1387,Just Like Heaven,2005,Comedy,6.7,47,48.32,95
1388,Broken Flowers,2005,Comedy,7.2,79,13.74,106
1389,"Good Night, and Good Luck.",2005,Biography,7.5,80,31.5,93
1390,Land of the Dead,2005,Horror,6.2,71,20.7,93
1391,Sahara,2005,Action,6.0,41,68.67,124
1392,The Devil's Rejects,2005,Crime,6.9,53,17.04,107
1393,The Legend of Zorro,2005,Action,5.9,47,46.46,129
1394,The Ring Two,2005,Horror,5.4,44,76.23,110
1395,Revolver,2005,Action,6.5,25,0.08,111
1396,Waiting...,2005,Comedy,6.8,30,16.12,94
1397,Zathura: A Space Adventure,2005,Action,6.2,67,29.26,101
1398,Elektra,2005,Action,4.7,34,24.41,97
1399,The Pacifier,2005,Action,5.6,30,113.09,95
1400,The New World,2005,Biography,6.7,69,12.71,135
1401,Hide and Seek,2005,Drama,5.9,35,51.1,101
1402,Chicken Little,2005,Animation,5.8,48,135.39,81
1403,The Weather Man,2005,Comedy,6.6,61,12.48,102
1404,The Dukes of Hazzard,2005,Adventure,5.1,33,80.27,104
1405,Sky High,2005,Adventure,6.2,62,63.95,100
1406,Assault on Precinct 13,2005,Action,6.3,54,19.98,109
1407,Stay,2005,Drama,6.9,41,3.63,99
1408,Into the Blue,2005,Action,5.9,45,18.47,110
1409,The Squid and the Whale,2005,Comedy,7.4,82,7.36,81
1410,Derailed,2005,Crime,6.6,40,36.02,108
1411,Caché,2005,Drama,7.3,83,3.63,117
1412,Bewitched,2005,Comedy,4.8,34,62.25,102
1413,Be Cool,2005,Comedy,5.7,37,56.05,118
1414,A Lot Like Love,2005,Comedy,6.6,48,21.84,107
1415,Elizabethtown,2005,Comedy,6.4,45,26.84,123
1416,Lady Vengeance,2005,Crime,7.6,75,0.21,115
1417,xXx: State of the Union,2005,Action,4.4,37,26.87,101
1418,Miss Congeniality 2: Armed & Fabulous,2005,Action,5.1,34,48.48,115
1419,Wolf Creek,2005,Horror,6.3,54,16.19,99
1420,Domino,2005,Action,6.0,36,10.17,127
1421,Nanny McPhee,2005,Comedy,6.6,59,47.14,97
1422,Harsh Times,2005,Action,6.9,56,3.34,116
1423,Goal! The Dream Begins,2005,Drama,6.7,53,4.28,118
1424,Dark Water,2005,Drama,5.6,52,25.47,105
1425,In Her Shoes,2005,Comedy,6.5,60,32.88,130
1426,The Family Stone,2005,Comedy,6.3,56,60.06,103
1427,Everything Is Illuminated,2005,Comedy,7.5,58,1.71,106
1428,March of the Penguins,2005,Documentary,7.6,79,77.44,80
1429,Hoodwinked!,2005,Animation,6.5,45,51.39,80
1430,Monster-in-Law,2005,Comedy,5.5,31,82.93,101
1431,The Sisterhood of the Traveling Pants,2005,Comedy,6.5,66,39.01,119
1432,Cheaper by the Dozen 2,2005,Adventure,5.5,34,82.57,94
1433,Stealth,2005,Action,5.0,35,32.12,121
1434,Casanova,2005,Adventure,6.5,57,11.29,112
1435,Lords of Dogtown,2005,Biography,7.1,56,11.01,107
1436,The World's Fastest Indian,2005,Biography,7.8,68,5.13,127
1437,Son of the Mask,2005,Comedy,2.2,20,17.02,94
1438,Rumor Has It...,2005,Comedy,5.5,35,43.0,97
1439,Grizzly Man,2005,Documentary,7.8,87,3.17,103
1440,The Proposition,2005,Crime,7.4,73,1.9,104
1441,Rent,2005,Drama,7.0,53,29.08,135
1442,Deuce Bigalow: European Gigolo,2005,Comedy,4.7,23,22.26,83
1443,White Noise,2005,Drama,5.5,30,56.39,101
1444,The Wedding Date,2005,Comedy,6.1,32,31.73,90
1445,The Matador,2005,Comedy,6.8,65,12.59,96
1446,Herbie Fully Loaded,2005,Adventure,4.8,47,66.02,101
1447,Adam's Apples,2005,Comedy,7.8,51,0.0,94
1448,Get Rich or Die Tryin',2005,Biography,5.2,45,30.98,117
1449,Two for the Money,2005,Drama,6.2,50,22.86,122
1450,Proof,2005,Drama,6.8,64,7.52,100
1451,Alone in the Dark,2005,Action,2.3,9,5.18,96
1452,Fever Pitch,2005,Comedy,6.2,56,42.07,104
1453,Transamerica,2005,Adventure,7.4,66,9.02,103
1454,The Producers,2005,Comedy,6.4,52,19.38,134
1455,Prime,2005,Comedy,6.2,58,22.83,105
1456,Guess Who,2005,Comedy,5.9,49,68.92,105
1457,North Country,2005,Drama,7.3,68,18.32,126
1458,The Three Burials of Melquiades Estrada,2005,Adventure,7.4,77,5.02,121
1459,Hustle & Flow,2005,Crime,7.4,68,22.2,116
1460,Kicking & Screaming,2005,Comedy,5.6,45,52.58,95
1461,The Ringer,2005,Comedy,5.8,46,35.42,94
1462,Me and You and Everyone We Know,2005,Comedy,7.3,76,3.89,91
1463,The Protector,2005,Action,7.1,52,11.91,111
1464,The Fog,2005,Horror,3.6,27,29.51,100
1465,The Cave,2005,Action,5.1,30,15.01,97
1466,BloodRayne,2005,Action,2.9,18,2.41,95
1467,Keeping Mum,2005,Comedy,6.8,53,1.62,99
1468,Tideland,2005,Drama,6.5,26,0.07,120
1469,Angel-A,2005,Comedy,7.1,48,0.2,91
1470,Must Love Dogs,2005,Comedy,5.9,46,43.89,98
1471,Oliver Twist,2005,Crime,6.9,65,1.99,130
1472,Cursed,2005,Comedy,5.0,31,19.3,97
1473,Boogeyman,2005,Drama,4.2,32,46.75,89
1474,Feast,2005,Action,6.3,43,0.05,95
1475,Imagine Me & You,2005,Comedy,6.8,49,0.67,90
1476,An Unfinished Life,2005,Drama,7.0,49,8.59,108
1477,Tsotsi,2005,Crime,7.3,70,2.91,94
1478,The Perfect Man,2005,Comedy,5.5,27,16.25,100
1479,The Adventures of Sharkboy and Lavagirl 3-D,2005,Action,3.5,38,39.18,93
1480,Are We There Yet?,2005,Adventure,4.6,27,82.67,95
1481,The Greatest Game Ever Played,2005,Biography,7.5,55,15.33,120
1482,Joyeux Noel,2005,Drama,7.8,70,1.05,116
1483,Sophie Scholl: The Final Days,2005,Biography,7.6,76,0.68,120
1484,Cry Wolf,2005,Drama,5.9,39,10.05,90
1485,"Yours, Mine & Ours",2005,Comedy,5.5,38,53.41,88
1486,The Man,2005,Action,5.6,33,8.33,83
1487,An American Haunting,2005,Drama,5.1,38,16.3,83
1488,Ice Princess,2005,Comedy,6.0,55,24.38,98
1489,Shopgirl,2005,Drama,6.4,62,10.28,106
1490,The Ice Harvest,2005,Comedy,6.3,62,8.82,92
1491,Man of the House,2005,Comedy,5.4,35,19.7,100
1492,Mirrormask,2005,Adventure,6.9,55,0.86,101
1493,Paradise Now,2005,Crime,7.5,71,1.45,90
1494,London,2005,Drama,6.6,24,0.01,92
1495,Little Manhattan,2005,Comedy,7.6,52,0.38,90
1496,Junebug,2005,Comedy,7.0,80,2.68,106
1497,Manderlay,2005,Drama,7.4,46,0.08,139
1498,Last Days,2005,Drama,5.8,67,0.45,97
1499,The Upside of Anger,2005,Comedy,6.9,63,18.76,118
1500,The Great Raid,2005,Action,6.7,48,10.17,132
1501,Thumbsucker,2005,Comedy,6.6,69,1.33,96
1502,Breakfast on Pluto,2005,Comedy,7.3,59,0.83,128
1503,Bad News Bears,2005,Comedy,5.8,65,32.87,113
1504,Valiant,2005,Animation,5.5,45,19.45,76
1505,Les poupées russes,2005,Comedy,7.0,67,0.32,125
1506,A Sound of Thunder,2005,Action,4.2,24,1.89,101
1507,The Beat That My Heart Skipped,2005,Crime,7.3,75,1.02,108
1508,Down in the Valley,2005,Drama,6.4,65,0.57,114
1509,The Chumscrubber,2005,Comedy,7.0,41,0.05,108
1510,Kinky Boots,2005,Comedy,7.1,57,1.82,107
1511,Beowulf & Grendel,2005,Action,5.9,53,0.07,103
1512,L'enfant (The Child),2005,Crime,7.5,87,0.65,95
1513,Where the Truth Lies,2005,Crime,6.5,47,0.87,107
1514,13 Tzameti,2005,Crime,7.4,61,0.12,93
1515,The Aristocrats,2005,Documentary,6.4,72,6.38,89
1516,Beauty Shop,2005,Comedy,5.5,53,36.35,105
1517,Racing Stripes,2005,Adventure,5.2,43,49.77,102
1518,Mrs Henderson Presents,2005,Comedy,7.0,71,11.03,103
1519,The Quiet,2005,Crime,6.4,29,0.38,96
1520,Water,2005,Drama,7.8,77,3.22,117
1521,Factotum,2005,Comedy,6.6,71,0.81,94
1522,Diary of a Mad Black Woman,2005,Comedy,5.7,36,50.63,116
1523,La tigre e la neve,2005,Comedy,7.1,22,0.01,110
1524,The Aura,2005,Crime,7.2,78,0.06,134
1525,The Death of Mr. Lazarescu,2005,Drama,8.0,86,0.08,153
1526,Tristram Shandy: A Cock and Bull Story,2005,Comedy,6.8,80,1.25,94
1527,Rebound,2005,Comedy,5.2,36,16.81,86
1528,Conversations with Other Women,2005,Comedy,7.0,62,0.37,84
1529,Dreamer: Inspired by a True Story,2005,Drama,6.9,59,32.7,106
1530,The Secret Life of Words,2005,Drama,7.5,68,0.02,115
1531,Romance & Cigarettes,2005,Comedy,6.3,55,0.54,105
1532,Edmond,2005,Drama,6.3,61,0.13,82
1533,The Ballad of Jack and Rose,2005,Drama,6.7,59,0.71,112
1534,The Notorious Bettie Page,2005,Biography,6.6,64,1.41,91
1535,Because of Winn-Dixie,2005,Comedy,6.4,54,32.65,106
1536,Dominion: Prequel to the Exorcist,2005,Drama,5.3,55,0.25,117
1537,Dear Wendy,2005,Comedy,6.6,33,0.02,105
1538,Why We Fight,2005,Documentary,8.1,68,1.44,98
1539,Murderball,2005,Documentary,7.7,87,1.52,88
1540,Pretty Persuasion,2005,Comedy,6.5,45,0.31,104
1541,The Method,2005,Comedy,7.3,68,0.01,115
1542,Venom,2005,Horror,4.7,25,0.88,87
1543,Tamara,2005,Drama,5.2,34,0.17,98
1544,The Lost City,2005,Drama,6.7,47,2.48,144
1545,Wu ji,2005,Action,5.6,53,8.19,121
1546,Happy Endings,2005,Comedy,6.4,57,1.31,128
1547,Dave Chappelle's Block Party,2005,Documentary,7.2,84,11.69,103
1548,The Devil and Daniel Johnston,2005,Documentary,8.0,77,0.33,110
1549,Trust the Man,2005,Comedy,5.7,43,1.53,103
1550,Dirty Deeds,2005,Comedy,5.8,28,0.15,87
1551,Time to Leave,2005,Drama,7.1,67,0.12,81
1552,Little Fish,2005,Crime,6.3,77,0.01,114
1553,Winter Passing,2005,Comedy,6.4,56,0.1,98
1554,In the Mix,2005,Comedy,2.7,31,10.11,95
1555,Strangers with Candy,2005,Comedy,6.1,57,2.07,97
1556,Lonesome Jim,2005,Comedy,6.6,54,0.15,91
1557,Bubble,2005,Crime,6.6,63,0.15,73
1558,Duma,2005,Adventure,7.3,82,0.86,100
1559,The King,2005,Drama,6.6,58,0.28,105
1560,Don't Come Knocking,2005,Drama,6.7,55,0.44,122
1561,The Honeymooners,2005,Comedy,3.2,31,12.83,90
1562,The Zodiac,2005,Crime,5.4,21,0.04,92
1563,Dirty Love,2005,Comedy,3.6,9,0.06,91
1564,"The Prize Winner of Defiance, Ohio",2005,Biography,7.3,58,0.63,99
1565,12 and Holding,2005,Drama,7.6,65,0.1,94
1566,Bee Season,2005,Drama,5.5,54,1.18,104
1567,Shadowboxer,2005,Action,5.6,33,0.37,93
1568,Nine Lives,2005,Drama,6.8,80,0.48,115
1569,Fateless,2005,Drama,7.0,87,0.2,140
1570,Roll Bounce,2005,Comedy,6.1,59,17.38,112
1571,Inside Deep Throat,2005,Documentary,6.7,64,0.65,89
1572,Color Me Kubrick,2005,Comedy,6.2,57,0.07,86
1573,Fierce People,2005,Drama,6.6,54,0.09,107
1574,The Amateurs,2005,Comedy,6.3,45,0.02,96
1575,The White Countess,2005,Drama,6.7,60,1.67,135
1576,Crossing the Bridge: The Sound of Istanbul,2005,Documentary,7.9,73,0.07,90
1577,Pooh's Heffalump Movie,2005,Animation,6.4,64,18.1,68
1578,Batalla en el cielo,2005,Crime,5.6,56,0.07,98
1579,The Wendell Baker Story,2005,Comedy,5.5,44,0.13,99
1580,Sarah Silverman: Jesus Is Magic,2005,Documentary,6.5,63,1.32,72
1581,Underclassman,2005,Action,4.1,19,5.65,95
1582,Zui hao de shi guang,2005,Drama,7.0,80,0.15,120
1583,Dirty,2005,Crime,5.6,37,0.27,97
1584,Lemming,2005,Drama,6.7,65,0.08,129
1585,End of the Spear,2005,Adventure,7.0,45,11.97,108
1586,Riding Alone for Thousands of Miles,2005,Drama,7.4,73,0.25,107
1587,The Puffy Chair,2005,Comedy,6.5,73,0.19,85
1588,Asylum,2005,Drama,6.1,51,0.37,99
1589,Princesas,2005,Drama,7.0,64,0.03,109
1590,Pierrepoint: The Last Hangman,2005,Biography,7.5,68,0.02,95
1591, Independent Lens,,Documentary,7.9,82,4.06,109
1592,The Baxter,2005,Comedy,6.6,51,0.18,91
1593,Wassup Rockers,2005,Comedy,5.9,56,0.22,111
1594,Heights,2005,Drama,7.0,59,1.16,93
1595,Ellie Parker,2005,Comedy,5.7,51,0.03,95
1596,The Departed,2006,Crime,8.5,85,132.38,151
1597,The Prestige,2006,Drama,8.5,66,53.09,130
1598,300,2006,Action,7.7,52,210.61,117
1599,Pirates of the Caribbean: Dead Man's Chest,2006,Action,7.3,53,423.32,151
1600,Pan's Labyrinth,2006,Drama,8.2,98,37.63,118
1601,Casino Royale,2006,Action,8.0,80,167.45,144
1602,Blood Diamond,2006,Adventure,8.0,64,57.37,143
1603,X-Men: The Last Stand,2006,Action,6.7,58,234.36,104
1604,Children of Men,2006,Drama,7.9,84,35.55,109
1605,Little Miss Sunshine,2006,Comedy,7.8,80,59.89,101
1606,The Pursuit of Happyness,2006,Biography,8.0,64,163.57,117
1607,The Da Vinci Code,2006,Mystery,6.6,46,217.54,149
1608,The Devil Wears Prada,2006,Comedy,6.9,62,124.74,109
1609,The Illusionist,2006,Drama,7.6,68,39.87,110
1610,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy,7.3,89,128.51,84
1611,Cars,2006,Animation,7.1,73,244.08,117
1612,The Lives of Others,2006,Drama,8.4,89,11.29,137
1613,Inside Man,2006,Crime,7.6,76,88.51,129
1614,Mission: Impossible III,2006,Action,6.9,66,134.03,126
1615,Lucky Number Slevin,2006,Crime,7.8,53,22.49,110
1616,Night at the Museum,2006,Adventure,6.4,48,250.86,108
1617,Click,2006,Comedy,6.4,45,137.36,107
1618,Deja Vu,2006,Action,7.1,59,64.04,126
1619,Babel,2006,Drama,7.5,69,34.3,143
1620,Apocalypto,2006,Action,7.8,68,50.87,139
1621,Superman Returns,2006,Action,6.1,72,200.08,154
1622,Ice Age: The Meltdown,2006,Animation,6.8,58,195.33,91
1623,Crank,2006,Action,7.0,57,27.83,88
1624,The Holiday,2006,Comedy,6.9,52,63.22,138
1625,Perfume: The Story of a Murderer,2006,Crime,7.5,56,2.22,147
1626,The Fast and the Furious: Tokyo Drift,2006,Action,6.0,45,62.51,104
1627,The Fountain,2006,Drama,7.3,51,10.14,96
1628,Stranger Than Fiction,2006,Comedy,7.6,67,40.14,113
1629,Silent Hill,2006,Horror,6.6,31,46.98,125
1630,Rocky Balboa,2006,Drama,7.2,63,70.27,102
1631,Underworld: Evolution,2006,Action,6.7,36,62.32,106
1632,Saw III,2006,Crime,6.2,48,80.24,108
1633,The Last King of Scotland,2006,Biography,7.7,74,17.61,123
1634,Happy Feet,2006,Animation,6.5,77,198.0,108
1635,Talladega Nights: The Ballad of Ricky Bobby,2006,Comedy,6.6,66,148.21,108
1636,The Hills Have Eyes,2006,Horror,6.4,52,41.78,107
1637,Over the Hedge,2006,Animation,6.7,67,155.02,83
1638,Letters from Iwo Jima,2006,Drama,7.9,89,13.76,141
1639,She's the Man,2006,Comedy,6.4,45,2.34,105
1640,Smokin' Aces,2006,Action,6.7,45,35.66,108
1641,Idiocracy,2006,Adventure,6.6,66,0.44,84
1642,The Lake House,2006,Drama,6.8,52,52.33,99
1643,Snakes on a Plane,2006,Action,5.5,58,34.02,105
1644,Clerks II,2006,Comedy,7.4,65,24.14,97
1645,16 Blocks,2006,Action,6.6,63,36.88,102
1646,Final Destination 3,2006,Horror,5.8,41,54.1,93
1647,Eragon,2006,Action,5.1,38,75.03,104
1648,The Break-Up,2006,Comedy,5.8,45,118.7,106
1649,Accepted,2006,Comedy,6.5,47,36.32,93
1650,Flags of our Fathers,2006,Drama,7.1,79,33.6,135
1651,This Is England,2006,Crime,7.7,86,0.33,101
1652,Scary Movie 4,2006,Comedy,5.1,40,90.71,83
1653,Step Up,2006,Crime,6.6,48,65.33,104
1654,Miami Vice,2006,Action,6.0,65,63.45,134
1655,Flushed Away,2006,Animation,6.6,74,64.67,85
1656,The Fall,2006,Adventure,7.9,64,2.28,117
1657,Little Children,2006,Drama,7.5,75,5.46,136
1658,A Scanner Darkly,2006,Animation,7.1,73,5.5,100
1659,The Queen,2006,Biography,7.3,91,56.44,103
1660,Tenacious D in The Pick of Destiny,2006,Adventure,6.8,55,8.32,93
1661,Alpha Dog,2006,Biography,6.9,53,15.23,122
1662,Rescue Dawn,2006,Action,7.3,77,5.49,120
1663,The Good Shepherd,2006,Drama,6.7,61,59.95,167
1664,Running Scared,2006,Action,7.4,41,6.86,122
1665,United 93,2006,Drama,7.6,90,31.57,111
1666,Marie Antoinette,2006,Biography,6.4,65,15.96,123
1667,Poseidon,2006,Action,5.6,50,60.67,98
1668,Lady in the Water,2006,Drama,5.6,36,42.29,110
1669,Monster House,2006,Animation,6.6,68,73.66,91
1670,Volver,2006,Comedy,7.6,84,12.9,121
1671,The Painted Veil,2006,Drama,7.5,69,8.06,125
1672,The Host,2006,Action,7.0,85,2.2,120
1673,The Guardian,2006,Action,6.9,53,55.01,139
1674,A Good Year,2006,Comedy,7.0,47,7.46,117
1675,Half Nelson,2006,Drama,7.2,85,2.69,106
1676,Cashback,2006,Comedy,7.2,54,0.02,102
1677,Open Season,2006,Animation,6.1,49,85.11,86
1678,An Inconvenient Truth,2006,Documentary,7.4,75,23.81,96
1679,Ultraviolet,2006,Action,4.4,18,18.5,88
1680,Scoop,2006,Comedy,6.7,48,10.53,96
1681,Nacho Libre,2006,Comedy,5.7,52,80.2,92
1682,John Tucker Must Die,2006,Comedy,5.8,41,41.01,89
1683,The Pink Panther,2006,Adventure,5.6,38,82.23,93
1684,"You, Me and Dupree",2006,Comedy,5.6,46,75.63,110
1685,World Trade Center,2006,Drama,6.0,66,70.28,129
1686,Grandma's Boy,2006,Comedy,7.0,33,6.09,94
1687,Notes on a Scandal,2006,Crime,7.4,73,17.51,92
1688,Slither,2006,Comedy,6.5,69,7.77,95
1689,Fearless,2006,Action,7.7,70,24.63,104
1690,The Black Dahlia,2006,Crime,5.6,49,22.52,121
1691,Black Book,2006,Drama,7.8,71,4.4,145
1692,"Paris, je t'aime",2006,Comedy,7.3,66,4.86,120
1693,Failure to Launch,2006,Comedy,5.6,47,88.72,97
1694,The Science of Sleep,2006,Comedy,7.3,70,4.66,105
1695,Dreamgirls,2006,Drama,6.5,76,103.37,130
1696,The Texas Chainsaw Massacre: The Beginning,2006,Horror,5.9,30,39.52,91
1697,Jackass Number Two,2006,Documentary,7.1,66,72.78,92
1698,Beerfest,2006,Comedy,6.3,46,19.19,110
1699,Invincible,2006,Biography,7.1,63,57.79,105
1700,Paprika,2006,Animation,7.7,81,0.88,90
1701,The Wicker Man,2006,Horror,3.7,36,23.64,102
1702,My Super Ex-Girlfriend,2006,Comedy,5.1,50,22.53,96
1703,Black Snake Moan,2006,Drama,7.0,52,9.4,116
1704,Penelope,2006,Comedy,6.8,48,10.01,104
1705,Eight Below,2006,Adventure,7.3,64,81.61,120
1706,Date Movie,2006,Comedy,2.8,11,48.55,83
1707,Firewall,2006,Crime,5.8,45,48.75,105
1708,The Omen,2006,Horror,5.5,43,54.61,110
1709,We Are Marshall,2006,Drama,7.1,53,43.55,131
1710,RV,2006,Adventure,5.5,33,71.73,99
1711,Wristcutters: A Love Story,2006,Comedy,7.3,62,0.32,88
1712,Just My Luck,2006,Comedy,5.4,29,17.32,103
1713,Inland Empire,2006,Drama,7.0,72,0.75,180
1714,Tristan + Isolde,2006,Action,6.8,49,14.73,125
1715,Tell No One,2006,Crime,7.5,82,6.18,131
1716,Littleman,2006,Comedy,4.4,26,58.65,98
1717,The Sentinel,2006,Action,6.1,49,36.28,108
1718,The Benchwarmers,2006,Comedy,5.6,25,57.65,80
1719,The Covenant,2006,Action,5.3,19,23.29,97
1720,The Grudge 2,2006,Horror,5.0,33,39.14,102
1721,The Wind that Shakes the Barley,2006,Drama,7.5,82,1.83,127
1722,Gridiron Gang,2006,Crime,6.9,52,38.43,125
1723,DOA: Dead or Alive,2006,Action,4.8,38,0.48,87
1724,Employee of the Month,2006,Comedy,5.5,36,28.44,103
1725,Candy,2006,Drama,7.3,57,0.04,108
1726,Man cheng jin dai huang jin jia,2006,Action,7.0,70,6.57,114
1727,Bobby,2006,Biography,7.0,54,11.24,117
1728,When a Stranger Calls,2006,Horror,5.1,27,47.86,87
1729,The Last Kiss,2006,Comedy,6.5,57,11.6,104
1730,Glory Road,2006,Biography,7.2,58,42.64,118
1731,Flyboys,2006,Action,6.5,47,13.08,140
1732,Big Momma's House 2,2006,Comedy,4.7,34,70.17,99
1733,Black Sheep,2006,Comedy,5.8,62,0.08,87
1734,Aquamarine,2006,Comedy,5.4,51,18.6,104
1735,Basic Instinct 2,2006,Drama,4.3,26,5.97,114
1736,Southland Tales,2006,Comedy,5.5,44,0.28,145
1737,Severance,2006,Comedy,6.5,62,0.14,96
1738,Garfield: A Tail of Two Kitties,2006,Animation,5.0,37,28.43,82
1739,The Ant Bully,2006,Animation,5.8,59,28.14,88
1740,Turistas,2006,Horror,5.4,36,7.03,93
1741,Charlotte's Web,2006,Comedy,6.3,68,82.99,97
1742,Dnevnoy dozor,2006,Action,6.5,59,0.45,132
1743,Hollywoodland,2006,Biography,6.5,62,14.42,126
1744,Bug,2006,Drama,6.1,62,7.01,102
1745,Find Me Guilty,2006,Biography,7.1,65,1.17,125
1746,The Marine,2006,Action,4.7,45,18.84,92
1747,Man of the Year,2006,Comedy,6.2,39,37.44,115
1748,Shortbus,2006,Drama,6.5,64,1.99,101
1749,Arthur and the Invisibles,2006,Animation,6.0,39,15.13,94
1750,After the Wedding,2006,Drama,7.8,78,0.41,120
1751,The Santa Clause 3: The Escape Clause,2006,Adventure,4.7,32,84.5,97
1752,Priceless,2006,Comedy,7.0,72,1.5,106
1753,Tales from Earthsea,2006,Animation,6.5,47,0.05,115
1754,Stay Alive,2006,Fantasy,5.1,24,23.09,85
1755,Unknown,2006,Crime,6.5,44,0.14,85
1756,School for Scoundrels,2006,Comedy,5.9,44,17.8,100
1757,Goya's Ghosts,2006,Biography,6.9,52,1.0,113
1758,Seraphim Falls,2006,Action,6.7,62,0.42,115
1759,Fido,2006,Comedy,6.7,70,0.3,93
1760,Pulse,2006,Horror,4.7,27,20.26,90
1761,This Film Is Not Yet Rated,2006,Documentary,7.5,75,0.3,98
1762,Hatchet,2006,Comedy,5.7,57,0.16,85
1763,Miss Potter,2006,Biography,7.0,57,2.98,88
1764,Last Holiday,2006,Comedy,6.5,52,38.36,112
1765,Jesus Camp,2006,Documentary,7.4,62,0.9,87
1766,Stick It,2006,Comedy,6.4,53,26.87,103
1767,Barnyard,2006,Animation,5.6,42,72.78,90
1768,Peaceful Warrior,2006,Drama,7.3,40,3.96,120
1769,See No Evil,2006,Action,5.1,17,15.03,84
