,name,year,genre,imdb,meta,gross,runtime
109,Under Suspicion,2000,Crime,6.5,43,0.26,110
110,Brother,2000,Crime,7.2,47,0.45,114
111,The Million Dollar Hotel,2000,Drama,5.9,25,0.05,122
112,State and Main,2000,Comedy,6.8,75,6.92,105
113,Tillsammans,2000,Comedy,7.5,84,1.07,106
114,Bounce,2000,Drama,5.7,52,36.78,106
115,The Flintstones in Viva Rock Vegas,2000,Comedy,3.6,27,35.27,90
116,Return to Me,2000,Comedy,6.9,54,32.66,115
117,The Yards,2000,Crime,6.4,58,0.88,115
118,The Adventures of Rocky & Bullwinkle,2000,Animation,4.2,36,26.0,92
119,Highlander: Endgame,2000,Action,4.6,21,12.8,87
120,My Dog Skip,2000,Comedy,7.1,61,34.1,95
121,Center Stage,2000,Drama,6.7,52,17.17,115
122,Dr. T & the Women,2000,Comedy,4.6,64,13.11,122
123,Yi Yi,2000,Drama,8.1,93,1.14,173
124,Saving Grace,2000,Comedy,6.9,62,12.12,93
125,Love & Basketball,2000,Drama,7.2,70,27.44,124
126,Supernova,2000,Horror,4.8,19,14.22,90
127,Rape Me,2000,Crime,4.5,35,0.01,77
128,The Tigger Movie,2000,Animation,6.3,53,45.55,77
129,Songs from the Second Floor,2000,Comedy,7.7,76,0.0,98
130,Boys and Girls,2000,Comedy,5.4,29,20.63,94
131,Urban Legends: Final Cut,2000,Horror,4.2,16,21.47,97
132,The Dish,2000,Comedy,7.2,74,2.25,101
133,The Princess and the Warrior,2000,Drama,7.5,64,0.87,135
134,Gossip,2000,Drama,5.9,31,5.11,90
135,The Man Who Cried,2000,Drama,6.2,40,0.74,100
136,Down to You,2000,Comedy,5.0,13,20.04,91
137,Bless the Child,2000,Crime,5.1,17,29.37,107
138,Ready to Rumble,2000,Comedy,5.4,23,12.37,107
139,Drowning Mona,2000,Comedy,5.6,25,15.43,96
140,Cecil B. DeMented,2000,Comedy,6.2,57,1.28,87
141,All the Pretty Horses,2000,Drama,5.8,55,15.53,116
142,Gangster No. 1,2000,Crime,6.8,60,0.03,103
143,Italiensk for begyndere,2000,Comedy,7.1,77,4.45,112
144,Animal Factory,2000,Crime,6.6,65,0.04,94
145,The Ladies Man,2000,Comedy,5.2,22,13.59,84
146,Seom,2000,Drama,7.0,61,0.02,90
147,Hanging Up,2000,Comedy,4.8,33,36.05,94
148,Werckmeister harmóniák,2000,Drama,8.2,92,0.03,145
149,Anatomie,2000,Horror,6.1,33,0.01,103
150,Snow Day,2000,Adventure,5.0,34,60.02,89
151,Code Unknown,2000,Drama,7.2,74,0.1,118
152,The Next Best Thing,2000,Comedy,4.7,25,14.99,108
153,Bait,2000,Action,5.8,39,15.33,119
154,Lost Souls,2000,Drama,4.8,16,16.78,97
155,Rugrats in Paris: The Movie,2000,Animation,6.2,62,76.51,78
156,Bamboozled,2000,Comedy,6.5,50,2.19,135
157,Woman on Top,2000,Comedy,5.3,41,5.02,92
158,Lucky Numbers,2000,Comedy,5.0,31,10.01,105
159,With a Friend Like Harry...,2000,Comedy,7.2,75,3.82,117
160,Whatever It Takes,2000,Comedy,5.5,20,8.74,94
161,Happy Accidents,2000,Comedy,7.3,60,0.69,110
162,101 Reykjavík,2000,Comedy,6.9,68,0.01,88
163,Girlfight,2000,Drama,6.8,70,1.52,110
164,Duets,2000,Comedy,6.0,40,4.73,112
165,What Planet Are You From?,2000,Comedy,5.6,41,6.29,105
166,The Little Vampire,2000,Adventure,5.8,45,13.56,95
167,Hamlet,2000,Drama,6.0,70,1.57,112
168,Pane e tulipani,2000,Comedy,7.4,68,5.31,114
169,The Weight of Water,2000,Crime,5.9,45,0.1,114
170,Left Behind: The Movie,ideo,Action,4.6,22,4.22,96
171,The Taste of Others,2000,Comedy,7.2,78,0.64,112
172,Here on Earth,2000,Drama,5.1,25,10.49,96
173,Panic,2000,Comedy,6.7,77,0.78,88
174,Screwed,2000,Comedy,5.7,7,7.03,81
175,Under the Sand,2000,Drama,7.2,86,1.45,92
176,George Washington,2000,Drama,7.4,82,0.24,89
177,The Tao of Steve,2000,Comedy,6.7,70,4.34,87
178,Vatel,2000,Biography,6.6,44,0.05,103
179,The House of Mirth,2000,Romance,7.1,78,3.04,135
180,The Broken Hearts Club: A Romantic Comedy,2000,Comedy,7.0,51,1.74,94
181,Gun Shy,2000,Comedy,5.7,42,1.63,101
182,Waking the Dead,2000,Drama,6.6,59,0.33,105
183,Zamani barayé masti asbha,2000,Drama,7.7,78,0.7,80
184,Timecode,2000,Drama,6.2,65,0.95,97
185,Digimon: The Movie,2000,Animation,6.0,20,9.63,82
186,About Adam,2000,Comedy,5.9,64,0.15,97
187,Dark Days,2000,Documentary,7.8,75,0.43,82
188,Guizi lai le,2000,Comedy,8.3,70,0.02,139
189,Harrison's Flowers,2000,Drama,7.2,49,1.84,121
190,Burnt Money,2000,Crime,7.2,68,0.24,125
191,Nico and Dani,2000,Comedy,6.8,59,0.35,91
192,The Claim,2000,Drama,6.5,62,0.67,120
193,Gouttes d'eau sur pierres brûlantes,2000,Comedy,6.9,73,0.09,82
194,Otesánek,2000,Animation,7.3,74,0.12,132
195,Tadpole,2000,Comedy,6.2,71,2.88,78
196,Maybe Baby,2000,Comedy,5.7,46,0.01,104
197,The Filth and the Fury,2000,Documentary,7.7,82,0.61,108
198,Dayereh,2000,Drama,7.5,85,0.67,90
199,Greenfingers,2000,Comedy,6.9,46,1.44,91
200,Psycho Beach Party,2000,Comedy,6.3,42,0.27,95
201,La veuve de Saint-Pierre,2000,Drama,7.3,73,3.06,112
202,The Original Kings of Comedy,2000,Comedy,6.7,76,38.18,115
203,Bread and Roses,2000,Drama,7.1,57,0.53,110
204,Chuck & Buck,2000,Comedy,6.6,76,1.05,96
205,Where the Money Is,2000,Drama,6.3,49,5.66,89
206,Love & Sex,2000,Comedy,6.2,44,0.55,82
207,Les glaneurs et la glaneuse,2000,Documentary,7.7,83,0.15,82
208,"Love, Honor and Obey",2000,Comedy,6.5,23,0.0,103
209,Ed Gein,2000,Biography,5.6,42,0.01,89
210,Dinner Rush,2000,Crime,7.3,79,0.11,99
211,Musíme si pomáhat,2000,Comedy,7.7,69,1.32,117
212,Come Undone,2000,Drama,6.7,68,0.01,98
213,Merci pour le Chocolat,2000,Crime,6.7,82,0.44,101
214,The Crew,2000,Crime,5.6,37,13.02,88
215,Maelstrom,2000,Drama,7.1,66,0.03,87
216,Love's Labour's Lost,2000,Romance,6.1,35,0.28,93
217,I Dreamed of Africa,2000,Adventure,5.6,33,6.54,114
218,The Golden Bowl,2000,Drama,5.9,62,3.04,130
219,The Luzhin Defence,2000,Drama,6.9,64,1.05,109
220,The In Crowd,2000,Drama,4.7,14,5.22,105
221,Time and Tide,2000,Action,6.9,60,0.09,113
222,Groove,2000,Drama,6.5,54,1.11,86
223,Whipped,2000,Comedy,4.5,10,4.14,82
224,Vulgar,2000,Crime,5.3,5,0.01,87
225,Big Eden,2000,Comedy,7.4,59,0.51,118
226,Happenstance,2000,Comedy,6.9,59,0.13,90
227,Happy Times,2000,Comedy,7.4,63,0.24,102
228,Suzhou he,2000,Drama,7.5,76,0.1,83
229,La virgen de los sicarios,2000,Crime,6.9,73,0.53,101
230,Committed,2000,Comedy,5.2,44,0.04,98
231,Beautiful,2000,Drama,5.5,23,3.06,112
232,Dancing at the Blue Iguana,2000,Drama,5.8,41,0.03,123
233,Thomas and the Magic Railroad,2000,Adventure,3.8,19,15.91,85
234,The Vertical Ray of the Sun,2000,Drama,7.2,72,0.46,112
235,Bangkok Dangerous,2000,Action,6.6,45,0.02,105
236,How to Kill Your Neighbor's Dog,2000,Comedy,7.0,40,0.05,107
237,Beautiful Creatures,2000,Comedy,5.9,40,0.06,86
238,Trolösa,2000,Drama,7.5,79,0.73,142
239,Yurîka,2000,Drama,7.9,78,0.05,217
240,Songcatcher,2000,Drama,7.3,63,3.05,109
241,Everybody's Famous!,2000,Comedy,7.0,60,0.07,97
